objectid,parentid,display_template,title,creator,location_of_origin,creator_photographer,date,source,date_earliest,date_latest,objectt_ht,object_wd,object_mm,object_sm,description,subject,description_provenance,object_location,image_small,image_thumb,format_size,format
w_110226_1,w_110226,,Front (Portrait of Old Woman),,,,,,,,,,,,,,,/objects/110226_1_45936475.jpg,/objects/small/110226_1_45936475.jpg,/objects/thumb/110226_1_45936475.jpg,235 KB,JPG
w_110226_2,w_110226,,Verso (Portrait of Old Woman),,,,,,,,,,,,,,,/objects/110226_2_45936476.jpg,/objects/small/110226_2_45936476.jpg,/objects/thumb/110226_2_45936476.jpg,112 KB,JPG
w_110168,,compound_object,[Madonna and Child],"Bassano, Jacopo (Artist; visual artist) 1510--1592",Venetian,,ca. 1550,,ca. 1550,ca. 1550,,,,,This painting depicts Madonna and child gazing down at a cherub holding a staff. The bottom left corner stands a lamb looking towards the cherub.,lambs; crosses,"Canessa, Milan, sold by 1954 (owner)",,,,,
w_110168_1,w_110168,,Front ([Madonna and Child]),,,"Perotti, Mario",,,,,,,,,,,,/objects/110164_1_45936377.jpg,/objects/small/110164_1_45936377.jpg,/objects/thumb/110164_1_45936377.jpg,255 KB,JPG
w_110168_2,w_110168,,Verso ([Madonna and Child]),,,,,,,,,,,,,,,/objects/110164_2_45936378.jpg,/objects/small/110164_2_45936378.jpg,/objects/thumb/110164_2_45936378.jpg,89.2 KB,JPG
w_109707,,compound_object,The Astronomer,"Veronese, Paolo (Artist; visual artist) 1528--1588",Venetian,,1528 – 1588,,1528,1588,138.4 cm (54 1/2 inches),110.6 cm (43 1/2 inches),,,This painting depicts a man in a turban leaning against a wall holding an armillary sphere affixed to a handle. The background depicts clouds and foliage.,armillary spheres; turbans; clouds; leaves,"De Burlet, Berlin, September 1922 (owner); Agnew, August 1925 (owner); Sir Stephen Courtauld, Umtali, Zimbabwe (owner)",,,,,
w_109707_1,w_109707,,Front (The Astronomer),,,A.C. Cooper Ltd. (Photographer),,,,,,,,,,,,/objects/109707_1_45942331.jpg,/objects/small/109707_1_45942331.jpg,/objects/thumb/109707_1_45942331.jpg,223 KB,JPG
w_109707_2,w_109707,,Verso (The Astronomer),,,,,,,,,,,,,,,/objects/109707_2_45942332.jpg,/objects/small/109707_2_45942332.jpg,/objects/thumb/109707_2_45942332.jpg,103 KB,JPG
w_109832,,compound_object,Shepherd & Nymph,"Bordone, Paris (Artist; visual artist) 1500--1571",Venetian,,1500 – 1571,,1500,1571,,,,,"A painting depicting a nude man laying near a tree with his clothing draped over a branch, a semi-draped woman is close by. Above the two figures, a cupid flys over them with two flower wreathes.",nudity; cupids; landscapes; trees; flowers,"Crespi Collection, Milan (owner)",,,,,
w_109832_1,w_109832,,Front (Shepherd & Nymph),,,,,"E. Martini, Arte Illustrata, July-Dec. 1968",,,,,,,,,,/objects/109832_1_45942538.jpg,/objects/small/109832_1_45942538.jpg,/objects/thumb/109832_1_45942538.jpg,179 KB,JPG
w_109832_2,w_109832,,Verso (Shepherd & Nymph),,,,,,,,,,,,,,,/objects/109832_2_45942539.jpg,/objects/small/109832_2_45942539.jpg,/objects/thumb/109832_2_45942539.jpg,61.4 KB,JPG
w_402056,,compound_object,Portrait of Caterina Varano,"Piombo, Sebastiano del (Artist; visual artist) 1485--1547",Venetian; Roman,,1485-1547,,1485,1547,,,,,"A woman stands at the center of the painting, her right arm outstretched and resting on a Catherine wheel. She stands with her right side facing the viewer, and her face is turned slightly towards us. She is dressed as Saint Catherine of Alexandria, in a Renaissance-style dress and veil.",woman; dress,"Louvre Museum, Paris (owner)",,,,,
